Mohammad Al Faruque University of California,Keine E-Mail gefunden
Frank Allgöwer University of Stuttgart,Keine E-Mail gefunden
John Baillieul Boston University,Keine E-Mail gefunden
Sanjoy Baruah University of North Carolina at Chapel Hill,Keine E-Mail gefunden
George Bollas University of Connecticut,Keine E-Mail gefunden
Michael Caramanis Boston University,Keine E-Mail gefunden
Christos Cassandras Boston University,Keine E-Mail gefunden
Isaac Cohen UTRC,Keine E-Mail gefunden
Peter Corke Queensland University of Technology,Keine E-Mail gefunden
Krzysztof Czarnecki University of Waterloo,Keine E-Mail gefunden
Luca De Nardis University of Rome La Sapienza,Keine E-Mail gefunden
Veronique Delebarre SafeRiver,Keine E-Mail gefunden
Marco Di Natale Scuola Superiore Sant'Anna,Keine E-Mail gefunden
Magnus Egerstedt Georgia Institute of Technology,Keine E-Mail gefunden
Reza Emami University of Toronto,Keine E-Mail gefunden
Zoran Filipi Clemson University,Keine E-Mail gefunden
Soha Hassoun Tufts University,Keine E-Mail gefunden
Florian Holzapfel Technical University of Munich,Keine E-Mail gefunden
Pau-Lo Hsu National Chiao-Tung University,Keine E-Mail gefunden
Ahmed Jerraya CEA Tech,Keine E-Mail gefunden
Zhihao Jiang University of Pennsylvania,Keine E-Mail gefunden
Wisam Kadhim ASML,Keine E-Mail gefunden
Usman Khan Tufts University,Keine E-Mail gefunden
Stephen Koffman Boeing Satellite Systems,Keine E-Mail gefunden
Ratnesh Kumar Iowa State University,Keine E-Mail gefunden
Mark Lawford McMaster University,Keine E-Mail gefunden
Miriam Leeser Northeastern University,Keine E-Mail gefunden
Hugh T. Liu University of Toronto,Keine E-Mail gefunden
Lennart Ljung Linköping University,Keine E-Mail gefunden
Tim Lüth Technical University of Munich,Keine E-Mail gefunden
Jan Madsen Technical University of Denmark,Keine E-Mail gefunden
Neeraj Magotra Western New England University,Keine E-Mail gefunden
Mary Ann Maher SoftMEMS LLC,Keine E-Mail gefunden
Oded Maler CNRS-VERIMAG University of Grenoble,Keine E-Mail gefunden
Pete Manolios Northeastern University,Keine E-Mail gefunden
Alexandru Mereacre University of Oxford,Keine E-Mail gefunden
Laurent Michel University of Connecticut,Keine E-Mail gefunden
William Milam Ford Motor Co,Keine E-Mail gefunden
Sayan Mitra University of Illinois at Urbana-Champaign,Keine E-Mail gefunden
Andreas Naderlinger University of Salzburg,Keine E-Mail gefunden
Sam Nazari Draper Laboratory,Keine E-Mail gefunden
Gabriela Nicolescu ‚Ecole Polytechnique de Montreal,Keine E-Mail gefunden
Kurt N. Ochsie Boeing Co,Keine E-Mail gefunden
Ian O'Connor ‚Ecole Centrale de Lyon,Keine E-Mail gefunden
Alex Ohata Toyota Motor Company,Keine E-Mail gefunden
Taskin Padir Worcester Polytechnic Institute,Keine E-Mail gefunden
Miroslav Pajic University of Pennsylvania,Keine E-Mail gefunden
Krishna R. Pattipati University of Connecticut,Keine E-Mail gefunden
Dario Pompili Rutgers University,Keine E-Mail gefunden
Wolfgang Pree University of Salzburg,Keine E-Mail gefunden
Bernhard Schätz fortiss GmbH,Keine E-Mail gefunden
Gunar Schirner Northeastern University,Keine E-Mail gefunden
Ramesh Sethu General Motors,Keine E-Mail gefunden
Frank Slomka Ulm University,Keine E-Mail gefunden
Mark Spong The University of Texas at Dallas,Keine E-Mail gefunden
Charles Taylor University of Louisiana at Lafayette,Keine E-Mail gefunden
Russ Tedrake Massachusetts Institute of Technology,Keine E-Mail gefunden
Ozer Unluhisarcikli ASML,Keine E-Mail gefunden
Hans Vangheluwe University of Antwerp/McGill University,Keine E-Mail gefunden
Daniel Varro Budapest University of Tech. and Economics,Keine E-Mail gefunden
Yan Wan University of North Texas,Keine E-Mail gefunden
Alan Wassyng McMaster University,Keine E-Mail gefunden
David Wilson Auckland University of Technology,Keine E-Mail gefunden
Alexander M. Wylginski Worcester Polytechnic Institute,Keine E-Mail gefunden
Sergey Yurgenson Harvard Medical School,Keine E-Mail gefunden
Justyna Zander Worcester Polytechnic Institute/MathWorks,Keine E-Mail gefunden
Qi Zhu University of California,Keine E-Mail gefunden
